"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
523.8813,"0:08:43",3736.82,9066.65,3633.45,3655.05,0,2532.82,390.34,2984.73,"16","dragonflye_long","Lerminiaux_isolateI"
764.5186,"0:12:44",3784.85,8329.09,3688.88,3706.44,0,2531.54,338.16,2907.36,"8","dragonflye_long","Lerminiaux_isolateI"
4149.2013,"1:09:09",7583.71,28639.96,7625.25,7636.76,550.19,24350.74,728.33,31948.46,"16","hybracter_hybrid","Lerminiaux_isolateI"
6080.5349,"1:41:20",4192.8,26169.77,4093.88,4116.81,20.81,24316.77,467.34,30272.73,"8","hybracter_hybrid","Lerminiaux_isolateI"
3038.8905,"0:50:38",4493.16,28609.55,4464.11,4471.87,10.96,8779.65,698.44,22433.12,"16","hybracter_long","Lerminiaux_isolateI"
4125.2494,"1:08:45",3877.39,27530.2,3753.1,3779.42,0.09,8650.39,511.02,22047.49,"8","hybracter_long","Lerminiaux_isolateI"
4206.7619,"1:10:06",7462.38,13804.04,7447.04,7451.94,742.83,48358,1213.02,53477.3,"16","unicycler","Lerminiaux_isolateI"
7469.3875,"2:04:29",4707.04,6826.97,4690.01,4693.79,742.83,50220.4,679.81,52636.99,"8","unicycler","Lerminiaux_isolateI"
356.0674,"0:05:56",3323.16,8993.93,3211.94,3229.51,0,2029.55,205.77,1330.65,"16","dragonflye_hybrid","Lerminiaux_isolateJ"
539.0766,"0:08:59",3431.2,8420.18,3305.16,3323.53,0,2190.38,305.37,2157.44,"8","dragonflye_hybrid","Lerminiaux_isolateJ"
331.5291,"0:05:31",3310.43,8993.95,3198.68,3216.3,0,1384.43,220.65,1275.71,"16","dragonflye_long","Lerminiaux_isolateJ"
430.8831,"0:07:10",2769.59,8420.15,2670.62,2688.72,0,1384.51,260.83,1511.18,"8","dragonflye_long","Lerminiaux_isolateJ"
2104.1369,"0:35:04",3406.62,8267.01,3263.33,3286.52,8.87,17006.98,524.03,11304.4,"16","hybracter_hybrid","Lerminiaux_isolateJ"
2827.5209,"0:47:07",2791.21,4435.48,2661.23,2688.81,19.59,16986.81,347.16,10763.8,"8","hybracter_hybrid","Lerminiaux_isolateJ"
1644.1144,"0:27:24",4129.5,27492.78,4100.35,4107.94,0.07,5344.07,571.44,10010.7,"16","hybracter_long","Lerminiaux_isolateJ"
1986.9959,"0:33:06",4094.62,27457.42,4052.75,4063,0.07,5202.29,427.5,9965.13,"8","hybracter_long","Lerminiaux_isolateJ"
